original_language,original_title,overview,popularity,release_date,runtime,tagline,title,vote_average,vote_count,price
en,The Secret Adventures of Tom Thumb,A boy born the size of a small doll is kidnapped by a genetic lab and must find a way back to his father in this inventive adventure filmed using stop motion animation techniques.,0.381704,10/12/1993,61,A nursery crime of epic proportions...,The Secret Adventures of Tom Thumb,7.1,8,6.99
en,Girl in the Cadillac,"A runaway teenage girl and a drifter rob a bank, hit the road to elude the Texas Rangers and find love on the run.",0.405392,24/10/1995,89,On our first date... we robbed a bank,Girl in the Cadillac,10,1,9.99
en,In the Mouth of Madness,"With the disappearance of hack horror writer Sutter Cane, all Hell is breaking loose...literally! Author Cane, it seems, has a knack for description that really brings his evil creepy-crawlies to life. Insurance investigator John Trent is sent to investigate Cane's mysterious vanishing act and ends up in the sleepy little East Coast town of Hobb's End.",8.497643,12/12/1994,95,Lived Any Good Books Lately?,In the Mouth of Madness,7.1,307,6.99
en,8 Seconds,"This film chronicles the life of Lane Frost, 1987 PRCA Bull Riding World Champion, his marriage and his friendships with Tuff Hedeman (three-time World Champion) and Cody Lambert.",1.888534,25/02/1994,105,Hang on for the ride of your life!,8 Seconds,7.2,22,6.99
en,A Bronx Tale,"Set in the Bronx during the tumultuous 1960s, an adolescent boy is torn between his honest, working-class father and a violent yet charismatic crime boss. Complicating matters is the youngster's growing attraction - forbidden in his neighborhood - for a beautiful black girl.",6.115628,14/09/1993,121,"One man lives in the neighborhood, another man owns it.",A Bronx Tale,7.4,447,6.99
en,Carlito's Way,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of NYC.",8.698509,10/11/1993,144,He's got a good future if he can live past next week.,Carlito's Way,7.7,805,7.99
en,Dazed and Confused,"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge.",6.8652,24/09/1993,102,See it with a bud.,Dazed and Confused,7.4,588,6.99
en,The Fugitive,"Wrongfully accused of murdering his wife, Richard Kimble escapes from the law in an attempt to find her killer and clear his name. Pursuing him is a team of U.S. marshals led by Deputy Samuel Gerard, a determined detective who will not rest until Richard is captured. As Richard leads the team through a series of intricate chases, he discovers the secrets behind his wife's death and struggles to expose the killer before it is too late.",10.08937,06/08/1993,130,A murdered wife. A one-armed man. An obsessed detective. The chase begins.,The Fugitive,7.2,1240,6.99
en,The Hudsucker Proxy,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,7.550545,11/03/1994,111,They took him for a fall guy... but he threw them for a hoop.,The Hudsucker Proxy,7.1,280,6.99
en,In the Name of the Father,"A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence.",7.405895,12/12/1993,133,Falsely accused. Wrongly imprisoned. He fought for justice to clear his father's name.,In the Name of the Father,7.6,363,7.99
